Spawning.Year,Sex,Poh.Length.Mm,Scale.Total.Age.Yrs,Scale.Gilbert.Age,(R) RESOLVED STOCK ID,(R) RESOLVED STOCK-ORIGIN
2017,Male,685,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,685,3,31,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,685,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,685,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,685,5,51,Robertson,Hatchery Robertson
2017,Female,686,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,686,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,686,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,686,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,686,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,686,4,41,Robertson,Hatchery Robertson
2017,Male,687,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,687,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,687,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,687,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Male,687,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,687,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,688,5,51,Robertson,Hatchery Robertson
2017,Female,688,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,688,5,51,Robertson,Hatchery Robertson
2017,Male,688,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Male,688,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,688,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Male,689,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,689,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,689,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,689,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,689,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,689,4,41,Robertson,Hatchery Robertson
2017,Female,689,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,689,5,51,Robertson,Hatchery Robertson
2017,Male,689,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,690,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,690,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Male,690,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,690,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,690,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,690,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,690,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,690,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,690,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,690,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,690,4,41,Robertson,Hatchery Robertson
2017,Female,691,5,51,Robertson,Hatchery Robertson
2017,Female,691,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,691,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,691,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,691,5,51,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Male,691,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Female,691,5,51,Robertson,Hatchery Robertson
2017,Male,691,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,692,4,41,Robertson,"Hatchery, but PBT/Oto disagree Robertson"
2017,Male,692,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
2017,Female,692,4,41,Robertson Cr Fall Chinook (assumed),Natural (assumed) Robertson Cr Fall Chinook (assumed)
